order_id,customer_name,new_order_date,order_year,month_name,order_month,order_day,category,sub_category,net_sales,discount,profit,total_sales,profit_percentage,region,city
OD1,Harish,2017-11-08,2017,November,11,8,Oil & Masala,Masalas,852.72,0.12,401.28,1254,47.05882352941176,North,Vellore
OD2,Sudha,2017-11-08,2017,November,11,8,Beverages,Health Drinks,599.2,0.18,149.8,749,25,South,Krishnagiri
OD3,Hussain,2017-06-12,2017,June,6,12,Food Grains,Atta & Flour,2194.8,0.21,165.2,2360,7.526881720430106,West,Perambalur
OD4,Jackson,2016-10-11,2016,October,10,11,Fruits & Veggies,Fresh Vegetables,806.4,0.25,89.6,896,11.11111111111111,South,Dharmapuri
OD5,Ridhesh,2016-10-11,2016,October,10,11,Food Grains,Organic Staples,1436.55,0.26,918.45,2355,63.934426229508205,South,Ooty
OD6,Adavan,2015-06-09,2015,June,6,9,Food Grains,Organic Staples,1982.3,0.26,322.7,2305,16.27906976744186,West,Dharmapuri
OD7,Jonas,2015-06-09,2015,June,6,9,Fruits & Veggies,Fresh Vegetables,479.08,0.33,346.92,826,72.41379310344827,West,Trichy
OD8,Hafiz,2015-06-09,2015,June,6,9,Fruits & Veggies,Fresh Fruits,1699.24,0.32,147.76,1847,8.695652173913043,West,Ramanadhapuram
OD9,Hafiz,2015-06-09,2015,June,6,9,Bakery,Biscuits,609.0699999999999,0.23,181.93,791,29.870129870129876,West,Tirunelveli
OD10,Krithika,2015-06-09,2015,June,6,9,Bakery,Cakes,1310.35,0.27,484.65,1795,36.986301369863014,West,Chennai
OD11,Ganesh,2015-06-09,2015,June,6,9,Snacks,Chocolates,1465.31,0.13,437.69,1903,29.87012987012987,West,Karur
OD12,Yadav,2015-06-09,2015,June,6,9,"Eggs, Meat & Fish",Eggs,392.56,0.1,308.44,701,78.57142857142857,West,Namakkal
OD13,Sharon,2018-04-15,2018,April,4,15,Snacks,Cookies,1343.79,0.19,315.21,1659,23.456790123456788,South,Dindigul
OD14,Peer,2017-12-05,2017,December,12,5,Fruits & Veggies,Fresh Vegetables,1213.15,0.25,63.85,1277,5.263157894736842,West,Kanyakumari
OD15,Sundar,2016-11-22,2016,November,11,22,"Eggs, Meat & Fish",Chicken,623.25,0.22,207.75,831,33.33333333333333,Central,Kanyakumari
OD16,Ramesh,2016-11-22,2016,November,11,22,Oil & Masala,Edible Oil & Ghee,1339.2,0.11,100.8,1440,7.526881720430106,Central,Krishnagiri
OD17,Alan,2015-11-11,2015,November,11,11,Bakery,Cakes,1359.18,0.28,318.82,1678,23.456790123456788,Central,Dharmapuri
OD18,Arutra,2015-05-13,2015,May,5,13,Beverages,Health Drinks,1503.81,0.19,113.19,1617,7.526881720430108,West,Bodi
OD19,Haseena,2015-08-27,2015,August,8,27,"Eggs, Meat & Fish",Mutton,1370.46,0.35,386.54,1757,28.205128205128204,West,Tenkasi
OD20,Verma,2015-08-27,2015,August,8,27,Beverages,Soft Drinks,532.84,0.29,159.16,692,29.87012987012987,West,Kanyakumari
OD21,Hafiz,2015-08-27,2015,August,8,27,Beverages,Health Drinks,313.2,0.19,208.8,522,66.66666666666667,West,Vellore
OD22,Alan,2017-12-09,2017,December,12,9,Food Grains,Dals & Pulses,900.6,0.13,47.4,948,5.263157894736842,Central,Karur
OD23,Haseena,2017-12-09,2017,December,12,9,Beverages,Soft Drinks,558.53,0.34,148.47,707,26.58227848101266,Central,Krishnagiri
OD24,Alan,2018-07-16,2018,July,7,16,Fruits & Veggies,Organic Vegetables,891.48,0.29,77.52,969,8.695652173913043,East,Tenkasi
OD25,Sharon,2016-09-25,2016,September,9,25,"Eggs, Meat & Fish",Eggs,605,0.11,495,1100,81.81818181818183,West,Ooty
OD26,Krithika,2017-01-16,2017,January,1,16,Snacks,Chocolates,1819.8,0.11,202.2,2022,11.11111111111111,West,Tirunelveli
OD27,Muneer,2017-01-16,2017,January,1,16,Snacks,Cookies,497.72,0.12,43.28,541,8.695652173913043,West,Trichy
OD28,Jackson,2016-09-17,2016,September,9,17,Bakery,Biscuits,577.61,0.22,401.39,979,69.4915254237288,East,Viluppuram
OD29,Veronica,2016-09-17,2016,September,9,17,Beverages,Soft Drinks,1113.28,0.22,874.72,1988,78.57142857142858,East,Krishnagiri
OD30,Shah,2016-09-17,2016,September,9,17,Oil & Masala,Masalas,919.77,0.17,69.23,989,7.526881720430108,East,Kanyakumari
OD31,Ramesh,2016-09-17,2016,September,9,17,Beverages,Soft Drinks,1678.95,0.24,166.05,1845,9.89010989010989,East,Dharmapuri
OD32,Mathew,2016-09-17,2016,September,9,17,Snacks,Noodles,980,0.11,420,1400,42.857142857142854,East,Vellore
OD33,Akash,2016-09-17,2016,September,9,17,Oil & Masala,Edible Oil & Ghee,1492.47,0.26,670.53,2163,44.927536231884055,East,Trichy
